Time,Seq,DateTime,DeltaTime,CumulTime,Id,CimetrixGEM300Simulation_ModuleID,CimetrixGEM300Simulation_ProcessJobID,CimetrixGEM300Simulation_RCID,CimetrixGEM300Simulation_SubstrateID,CimetrixGEM300Simulation_StepCount,CimetrixGEM300Simulation_StepID
2022-11-24T08:11:33.126-07:00,0,2022-11-24 08:11:33.126,0.000,0.000,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.07,9,Step-8
2022-11-24T08:11:39.215-07:00,1,2022-11-24 08:11:39.215,6.089,6.089,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.07,10,Step-9
2022-11-24T08:11:45.282-07:00,2,2022-11-24 08:11:45.282,6.067,12.156,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.07,10,Step-9
2022-11-24T08:11:47.484-07:00,3,2022-11-24 08:11:47.484,2.202,14.358,ModuleProcess:2:NotExecuting-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,,
2022-11-24T08:11:47.527-07:00,4,2022-11-24 08:11:47.527,0.043,14.401,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,1,Step-0
2022-11-24T08:11:53.545-07:00,5,2022-11-24 08:11:53.545,6.018,20.419,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,1,Step-0
2022-11-24T08:11:53.567-07:00,6,2022-11-24 08:11:53.567,0.022,20.441,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,2,Step-1
2022-11-24T08:11:59.635-07:00,7,2022-11-24 08:11:59.635,6.068,26.509,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,2,Step-1
2022-11-24T08:11:59.656-07:00,8,2022-11-24 08:11:59.656,0.021,26.530,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,3,Step-2
2022-11-24T08:12:05.726-07:00,9,2022-11-24 08:12:05.726,6.070,32.600,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,3,Step-2
2022-11-24T08:12:05.747-07:00,10,2022-11-24 08:12:05.747,0.021,32.621,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,4,Step-3
2022-11-24T08:12:11.832-07:00,11,2022-11-24 08:12:11.832,6.085,38.706,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,4,Step-3
2022-11-24T08:12:11.860-07:00,12,2022-11-24 08:12:11.860,0.028,38.734,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,5,Step-4
2022-11-24T08:12:17.933-07:00,13,2022-11-24 08:12:17.933,6.073,44.807,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,5,Step-4
2022-11-24T08:12:17.956-07:00,14,2022-11-24 08:12:17.956,0.023,44.830,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,6,Step-5
2022-11-24T08:12:24.022-07:00,15,2022-11-24 08:12:24.022,6.066,50.896,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,6,Step-5
2022-11-24T08:12:24.044-07:00,16,2022-11-24 08:12:24.044,0.022,50.918,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,7,Step-6
2022-11-24T08:12:30.113-07:00,17,2022-11-24 08:12:30.113,6.069,56.987,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,7,Step-6
2022-11-24T08:12:30.134-07:00,18,2022-11-24 08:12:30.134,0.021,57.008,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,8,Step-7
2022-11-24T08:12:36.202-07:00,19,2022-11-24 08:12:36.202,6.068,63.076,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,8,Step-7
2022-11-24T08:12:36.226-07:00,20,2022-11-24 08:12:36.226,0.024,63.100,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,9,Step-8
2022-11-24T08:12:42.302-07:00,21,2022-11-24 08:12:42.302,6.076,69.176,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,9,Step-8
2022-11-24T08:12:42.325-07:00,22,2022-11-24 08:12:42.325,0.023,69.199,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,10,Step-9
2022-11-24T08:12:48.391-07:00,23,2022-11-24 08:12:48.391,6.066,75.265,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,10,Step-9
2022-11-24T08:12:48.418-07:00,24,2022-11-24 08:12:48.418,0.027,75.292,ModuleProcess:3:GeneralExecution-NotExecuting,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.09,,
