Time,Seq,DateTime,DeltaTime,CumulTime,Id,CimetrixGEM300Simulation_MaterialManager_SubstLocID,CimetrixGEM300Simulation_MaterialManager_SubstLocSubstID
2022-11-22T17:15:50.439-07:00,351,2022-11-22 17:15:50.439,#VALUE!,953.501,SubstrateLocation:1:Unoccupied-Occupied,Robot,CARRIER1.01
2022-11-22T17:15:50.969-07:00,353,2022-11-22 17:15:50.969,0.530,954.031,SubstrateLocation:1:Unoccupied-Occupied,PreAligner,CARRIER1.01
2022-11-22T17:15:56.503-07:00,355,2022-11-22 17:15:56.503,5.534,959.565,SubstrateLocation:1:Unoccupied-Occupied,Robot,CARRIER1.01
2022-11-22T17:15:57.031-07:00,357,2022-11-22 17:15:57.031,0.528,960.093,SubstrateLocation:1:Unoccupied-Occupied,ProcessChamber1,CARRIER1.01
2022-11-22T17:16:58.576-07:00,371,2022-11-22 17:16:58.576,61.545,1021.638,SubstrateLocation:1:Unoccupied-Occupied,Robot,CARRIER1.01
2022-11-22T17:16:59.104-07:00,373,2022-11-22 17:16:59.104,0.528,1022.166,SubstrateLocation:1:Unoccupied-Occupied,CARRIER1.01,CARRIER1.01
2022-11-22T17:15:57.561-07:00,359,2022-11-22 17:15:57.561,-61.543,960.623,SubstrateLocation:1:Unoccupied-Occupied,Robot,CARRIER1.02
2022-11-22T17:15:58.093-07:00,361,2022-11-22 17:15:58.093,0.532,961.155,SubstrateLocation:1:Unoccupied-Occupied,PreAligner,CARRIER1.02
2022-11-22T17:16:03.635-07:00,363,2022-11-22 17:16:03.635,5.542,966.697,SubstrateLocation:1:Unoccupied-Occupied,Robot,CARRIER1.02
2022-11-22T17:16:04.160-07:00,365,2022-11-22 17:16:04.160,0.525,967.222,SubstrateLocation:1:Unoccupied-Occupied,ProcessChamber2,CARRIER1.02
2022-11-22T17:17:05.656-07:00,383,2022-11-22 17:17:05.656,61.496,1028.718,SubstrateLocation:1:Unoccupied-Occupied,Robot,CARRIER1.02
2022-11-22T17:17:06.181-07:00,385,2022-11-22 17:17:06.181,0.525,1029.243,SubstrateLocation:1:Unoccupied-Occupied,CARRIER1.02,CARRIER1.02
2022-11-22T17:16:04.689-07:00,367,2022-11-22 17:16:04.689,-61.492,967.751,SubstrateLocation:1:Unoccupied-Occupied,Robot,CARRIER1.03
2022-11-22T17:16:05.215-07:00,369,2022-11-22 17:16:05.215,0.526,968.277,SubstrateLocation:1:Unoccupied-Occupied,PreAligner,CARRIER1.03
2022-11-22T17:16:59.634-07:00,375,2022-11-22 17:16:59.634,54.419,1022.696,SubstrateLocation:1:Unoccupied-Occupied,Robot,CARRIER1.03
2022-11-22T17:17:00.162-07:00,377,2022-11-22 17:17:00.162,0.528,1023.224,SubstrateLocation:1:Unoccupied-Occupied,ProcessChamber1,CARRIER1.03
2022-11-22T17:18:01.654-07:00,395,2022-11-22 17:18:01.654,61.492,1084.716,SubstrateLocation:1:Unoccupied-Occupied,Robot,CARRIER1.03
2022-11-22T17:18:02.182-07:00,397,2022-11-22 17:18:02.182,0.528,1085.244,SubstrateLocation:1:Unoccupied-Occupied,CARRIER1.03,CARRIER1.03
2022-11-22T17:17:00.688-07:00,379,2022-11-22 17:17:00.688,-61.494,1023.750,SubstrateLocation:1:Unoccupied-Occupied,Robot,CARRIER1.04
2022-11-22T17:17:01.217-07:00,381,2022-11-22 17:17:01.217,0.529,1024.279,SubstrateLocation:1:Unoccupied-Occupied,PreAligner,CARRIER1.04
2022-11-22T17:17:06.746-07:00,387,2022-11-22 17:17:06.746,5.529,1029.808,SubstrateLocation:1:Unoccupied-Occupied,Robot,CARRIER1.04
2022-11-22T17:17:07.276-07:00,389,2022-11-22 17:17:07.276,0.530,1030.338,SubstrateLocation:1:Unoccupied-Occupied,ProcessChamber2,CARRIER1.04
2022-11-22T17:18:08.756-07:00,407,2022-11-22 17:18:08.756,61.480,1091.818,SubstrateLocation:1:Unoccupied-Occupied,Robot,CARRIER1.04
2022-11-22T17:18:09.284-07:00,409,2022-11-22 17:18:09.284,0.528,1092.346,SubstrateLocation:1:Unoccupied-Occupied,CARRIER1.04,CARRIER1.04
2022-11-22T17:17:07.801-07:00,391,2022-11-22 17:17:07.801,-61.483,1030.863,SubstrateLocation:1:Unoccupied-Occupied,Robot,CARRIER1.05
2022-11-22T17:17:08.374-07:00,393,2022-11-22 17:17:08.374,0.573,1031.436,SubstrateLocation:1:Unoccupied-Occupied,PreAligner,CARRIER1.05
2022-11-22T17:18:02.711-07:00,399,2022-11-22 17:18:02.711,54.337,1085.773,SubstrateLocation:1:Unoccupied-Occupied,Robot,CARRIER1.05
2022-11-22T17:18:03.241-07:00,401,2022-11-22 17:18:03.241,0.530,1086.303,SubstrateLocation:1:Unoccupied-Occupied,ProcessChamber1,CARRIER1.05
2022-11-22T17:19:04.860-07:00,419,2022-11-22 17:19:04.860,61.619,1147.922,SubstrateLocation:1:Unoccupied-Occupied,Robot,CARRIER1.05
2022-11-22T17:19:05.441-07:00,421,2022-11-22 17:19:05.441,0.581,1148.503,SubstrateLocation:1:Unoccupied-Occupied,CARRIER1.05,CARRIER1.05
2022-11-22T17:18:03.768-07:00,403,2022-11-22 17:18:03.768,-61.673,1086.830,SubstrateLocation:1:Unoccupied-Occupied,Robot,CARRIER1.06
2022-11-22T17:18:04.296-07:00,405,2022-11-22 17:18:04.296,0.528,1087.358,SubstrateLocation:1:Unoccupied-Occupied,PreAligner,CARRIER1.06
