Time,Id,CimetrixGEM300Simulation/MaterialManager/SubstLocID,CimetrixGEM300Simulation/MaterialManager/SubstLocSubstID
2022-11-10T00:00:56.490-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber1,
2022-11-10T00:00:57.071-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:00:57.665-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:00:58.232-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:00:58.788-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER2.11,
2022-11-10T00:00:59.355-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:03.907-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber2,
2022-11-10T00:01:04.473-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:05.049-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:01:05.627-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:06.210-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER2.12,
2022-11-10T00:01:06.790-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:11.099-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber1,
2022-11-10T00:01:11.670-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:12.405-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:01:12.964-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:13.519-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER2.13,
2022-11-10T00:01:14.082-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:18.351-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber2,
2022-11-10T00:01:18.912-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:19.665-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:01:20.237-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:20.804-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER2.14,
2022-11-10T00:01:21.383-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:25.686-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber1,
2022-11-10T00:01:26.250-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:27.010-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:01:27.592-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:28.145-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER2.15,
2022-11-10T00:01:28.708-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:33.047-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber2,
2022-11-10T00:01:33.622-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:34.322-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:01:34.872-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:35.479-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER2.16,
2022-11-10T00:01:36.035-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:40.399-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber1,
2022-11-10T00:01:40.967-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:41.609-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:01:42.181-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:42.744-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER2.17,
2022-11-10T00:01:43.310-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:47.748-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber2,
2022-11-10T00:01:48.322-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:48.885-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:01:49.447-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:50.028-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER2.18,
2022-11-10T00:01:50.593-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:54.976-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber1,
2022-11-10T00:01:55.545-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:56.180-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:01:56.745-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:01:57.301-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER2.19,
2022-11-10T00:01:57.873-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:02.197-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber2,
2022-11-10T00:02:02.786-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:03.466-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:02:04.035-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:04.615-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER2.20,
2022-11-10T00:02:05.192-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:09.554-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber1,
2022-11-10T00:02:10.105-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:10.779-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:02:11.352-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:11.914-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER2.21,
2022-11-10T00:02:12.480-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:16.787-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber2,
2022-11-10T00:02:17.352-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:18.074-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:02:18.643-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:19.244-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER2.22,
2022-11-10T00:02:19.815-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:24.157-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber1,
2022-11-10T00:02:24.717-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:25.411-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:02:25.972-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:26.575-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER2.23,
2022-11-10T00:02:27.149-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:31.520-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber2,
2022-11-10T00:02:32.076-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:32.731-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:02:33.291-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:33.842-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER2.24,
2022-11-10T00:02:34.406-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:02:38.703-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber1,
