Time,Id,CimetrixGEM300Simulation/MaterialManager/SubstLocID,CimetrixGEM300Simulation/MaterialManager/SubstLocSubstID
2022-11-10T00:11:26.944-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER1.16"
2022-11-10T00:11:27.516-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber2","CARRIER1.16"
2022-11-10T00:11:28.094-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER1.17"
2022-11-10T00:11:28.683-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER1.17"
2022-11-10T00:11:32.911-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER1.15"
2022-11-10T00:11:33.459-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER1.15","CARRIER1.15"
2022-11-10T00:11:34.245-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER1.17"
2022-11-10T00:11:34.809-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber1","CARRIER1.17"
2022-11-10T00:11:35.378-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER1.18"
2022-11-10T00:11:35.946-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER1.18"
2022-11-10T00:11:40.000-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER1.16"
2022-11-10T00:11:40.551-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER1.16","CARRIER1.16"
2022-11-10T00:11:41.522-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER1.18"
2022-11-10T00:11:42.081-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber2","CARRIER1.18"
2022-11-10T00:11:42.638-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER1.19"
2022-11-10T00:11:43.191-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER1.19"
