Node name,Type,Parent,State Machine Count,Attributes,Parameter Count,Event Count,Exception Count,States
CimetrixGEM300Simulation,Equipment,"",2,0,31,8,0,0
ProcessingChamber1,Module,CimetrixGEM300Simulation,1,0,13,0,0,0
ProcessingChamber2,Module,CimetrixGEM300Simulation,1,0,13,0,0,0
EFEM,Subsystem,CimetrixGEM300Simulation,0,0,6,0,8,0
SubstrateAligner,Subsystem,CimetrixGEM300Simulation,0,0,0,2,0,0
EPTTracker,LogicalElement,CimetrixGEM300Simulation,1,0,13,0,0,0
JobManager,LogicalElement,CimetrixGEM300Simulation,2,0,15,0,0,0
MaterialManager,LogicalElement,CimetrixGEM300Simulation,0,0,47,1,4,0
E30-0307:Control,StateMachineInstance,CimetrixGEM300Simulation,0,0,0,17,0,3
E30-0307:Processing,StateMachineInstance,CimetrixGEM300Simulation,0,0,0,4,0,3
Randomizer,IODevice,ProcessingChamber1,0,0,24,0,0,0
RealData,IODevice,ProcessingChamber1,0,0,50,0,0,0
ProcessingSubstLoc,MaterialLocation,ProcessingChamber1,1,0,6,0,0,0
EPTTracker,LogicalElement,ProcessingChamber1,1,0,13,0,0,0
E157-0710:ModuleProcess,StateMachineInstance,ProcessingChamber1,0,0,8,6,0,3
Randomizer,IODevice,ProcessingChamber2,0,0,24,0,0,0
RealData,IODevice,ProcessingChamber2,0,0,50,0,0,0
ProcessingSubstLoc,MaterialLocation,ProcessingChamber2,1,0,6,0,0,0
EPTTracker,LogicalElement,ProcessingChamber2,1,0,13,0,0,0
E157-0710:ModuleProcess,StateMachineInstance,ProcessingChamber2,0,0,8,6,0,3
E90-0707:SubstrateLocation,StateMachineInstance,ProcessingSubstLoc,0,0,1,4,0,3
E90-0707:SubstrateLocation,StateMachineInstance,ProcessingSubstLoc,0,0,1,4,0,3
SubstrateAlignerLocation,MaterialLocation,SubstrateAligner,1,0,6,2,0,0
E116-0707:EPTEquipment,StateMachineInstance,EPTTracker,0,0,0,1,0,3
ControlJob,SemiObjectType,JobManager,1,13,1,0,0,0
ProcessJob,SemiObjectType,JobManager,1,10,1,0,0,0
E94-0309:ControlJob,StateMachine ,ControlJob,0,0,0,13,0,4
E40-0709:ProcessJob,StateMachine ,ProcessJob,0,0,0,13,0,4
Carrier,SemiObjectType,MaterialManager,1,11,5,2,0,0
SubstLoc,SemiObjectType,MaterialManager,1,5,2,0,0,0
Substrate,SemiObjectType,MaterialManager,1,16,17,0,0,0
LoadPort1,SubSystem,EFEM,4,0,13,8,0,0
LoadPort2,Subsystem,EFEM,4,0,13,8,0,0
Robot,Subsystem,EFEM,0,0,0,0,0,0
E87-0709:Carrier,StateMachineInstance,Carrier,3,0,0,2,0,2
E87-0709:CarrierAccessingStatus,StateMachineInstance,E87-0709:Carrier,0,0,1,4,0,4
E87-0709:CarrierIDStatus,StateMachineInstance,E87-0709:Carrier,0,0,2,10,0,10
E87-0709:CarrierSlotMapStatus,StateMachineInstance,E87-0709:Carrier,0,0,5,5,0,5
E90-0707:SubstrateLocation,StateMachineInstance,SubstLoc,0,0,1,4,0,3
E90-0707:SubstrateObject,StateMachineInstance,Substrate ,3,0,0,2,0,2
E90-0707:SubstrateProcessing,StateMachineInstance,E90-0707:SubstrateObject,0,0,24,5,0,5
E90-0707:SubstrateReadingStatus,StateMachineInstance,E90-0707:SubstrateObject,0,0,24,5,0,5
E90-0707:SubstrateTransport,StateMachineInstance,E90-0707:SubstrateObject,0,0,24,7,0,7
E90-0707:SubstrateLocation,StateMachineInstance,SubsrateAlignerLocation,0,0,2,4,0,3
RobotArm1,MaterialLocation,Robot,1,0,6,0,0,0
E90-0707:SubstrateLocation,StateMachineInstance,RobotArm1,0,0,2,4,0,3
FIMS1,MaterialLocation,LoadPort1,0,0,2,0,0,0
LP1,MaterialLocation,LoadPort1,0,0,2,0,0,0
EPTTracker,LogicalElement,LoadPort1,1,0,13,0,0,0
FIMS2,MaterialLocation,LoadPort2,0,0,2,0,0,0
LP2,MaterialLocation,LoadPort2,0,0,2,0,0,0
EPTTracker,LogicalElement,LoadPort2,1,0,13,0,0,0
E87-0709:AccessMode,StateMachineInstance,LoadPort1,0,0,1,4,0,3
E87-0709:LoadPortCarrierAssociation,StateMachineInstance,LoadPort1,0,0,2,4,0,4
E87-0709:LoadPortReservation,StateMachineInstance,LoadPort1,0,0,2,2,0,2
E87-0709:LoadPortTransfer,StateMachineInstance,LoadPort1,0,0,1,13,0,8
E87-0709:AccessMode,StateMachineInstance,LoadPort2,0,0,1,4,0,3
E87-0709:LoadPortCarrierAssociation,StateMachineInstance,LoadPort2,0,0,2,4,0,4
E87-0709:LoadPortReservation,StateMachineInstance,LoadPort2,0,0,2,2,0,2
E87-0709:LoadPortTransfer,StateMachineInstance,LoadPort2,0,0,1,13,0,8
